id	parent_id
Q10745190	Q28294
Q241515	Q26012
Q41972	Q26626
Q431179	Q10856
Q133463	Q667490
Q188737	Q940115
Q2312123	Q26626
Q2822501	Q667490
Q13426919	Q289448
Q737426	Q974811
Q869404	Q26623
Q135898	Q11725806
Q1088541	Q200989
Q920922	Q187014
Q10818243	Q25439
Q220705	Q26623
Q147880	Q26623
Q786045	Q26626
Q43489	Q754660
Q1082724	Q732881
Q310859	Q26626
Q631677	Q7556
Q2333854	Q187014
Q585636	Q26626
Q2569205	Q187014
Q259424	Q185237
Q688188	Q26623
Q30085	Q754889
Q244078	Q855133
Q5261336	Q160835
Q179112	Q974811
Q600204	Q25510
Q719380	Q168473
Q1237815	Q21695
Q193807	Q205943
Q608715	Q1607847
Q9189957	Q160835
Q674094	Q494623
Q603287	Q193404
Q210416	Q620938
Q947895	Q1031335
Q858577	Q205857
Q133003	Q1031335
Q478281	Q214462
Q902469	Q681374
Q614481	Q28486
Q316342	Q27042
Q15875487	Q26623
Q226900	Q371086
Q43365	Q25565
Q1088377	Q27589
Q46316	Q21153
Q310850	Q473939
Q1053111	Q205323
Q904303	Q25565
Q9293884	Q222432
Q3924795	Q3709179
Q30944	Q135447
Q850925	Q774034
Q115661	Q26050
Q648422	Q26012
Q214293	Q26012
Q1050525	Q200989
Q901041	Q39861
Q16069825	Q1193805
Q842978	Q26050
Q6471715	Q28507
Q10801919	Q21215749
Q736322	Q28449
Q16529427	Q25365
Q256760	Q27725
Q2375770	Q217272
Q644294	Q187014
Q905420	Q135447
Q1978121	Q25510
Q1049267	Q207767
Q1463407	Q10856
Q1608770	Q205320
Q513741	Q27589
Q253789	Q27725
Q852334	Q25510
Q2511641	Q26381
Q843173	Q667490
Q209239	Q10856
Q31818	Q21446737
Q27515	Q12845592
Q979624	Q26623
Q1887740	Q27589
Q28135	Q39861
Q578756	Q200989
Q855800	Q200989
Q3770027	Q185237
Q749428	Q188854
Q4006276	Q20977
Q311248	Q25565
Q388003	Q200989
Q76408	Q27589
Q2717364	Q25565
Q271634	Q25565
Q310465	Q26617
Q378278	Q29858
Q215166	Q26626
Q12814087	Q25439
Q746658	Q26381
Q10792667	Q1074819
Q132913	Q28294
Q12814009	Q187014
Q240088	Q200989
Q135951	Q1031335
Q28753	Q28922
Q1466322	Q21596781
Q135851	Q27589
Q375716	Q27112
Q328982	Q1193805
Q637533	Q26623
Q51670098	Q774034
Q28106682	Q7556
Q906092	Q200989
Q1180273	Q28507
Q3838110	Q168473
Q213984	Q278968
Q310848	Q27589
Q1869243	Q9304816
Q310935	Q561145
Q2090536	Q202955
Q1089134	Q1196087
Q3214630	Q214462
Q832329	Q26012
Q3759722	Q185237
Q249826	Q9304816
Q835525	Q26623
Q25510	Q21736
Q205320	Q25978
Q25565	Q15998878
Q44245	Q484131
Q171052	Q25341
Q214462	Q749521
Q26626	Q25978
Q18789	Q19338
Q855133	Q18789
Q21215749	Q31448
Q208304	Q25341
Q26050	Q1179990
Q839526	Q25341
Q774034	Q25341
Q160835	Q25341
Q1031335	Q18789
Q222432	Q25341
Q202955	Q25341
Q200989	Q1179990
Q1929497	Q194240
Q1401386	Q27244
Q185237	Q25341
Q27725	Q7556
Q28922	Q749521
Q223402	Q749521
Q25365	Q25557
Q1196087	Q8154335
Q7556	Q16124376
Q620938	Q7556
Q15631675	Q1179990
Q11897625	Q25341
Q28294	Q7129481
Q27589	Q864492
Q27042	Q25978
Q193833	Q162085
Q217472	Q768526
Q289448	Q28449
Q188854	Q194240
Q26381	Q183364
Q26375	Q21659
Q207767	Q21685
Q25439	Q25934
Q29858	Q194240
Q27112	Q25222
Q39861	Q25341
Q208492	Q21728
Q28486	Q25341
Q205938	Q25341
Q940115	Q25510
Q217272	Q25978
Q494623	Q25978
Q1607847	Q8154335
Q754660	Q21744
Q278968	Q8327
Q187014	Q2862448
Q205943	Q749521
Q82562	Q620938
Q974811	Q26375
Q473939	Q2862448
Q9304816	Q26375
Q28240	Q21736
Q21446737	Q25439
Q561145	Q25439
Q366974	Q25341
Q8154335	Q45018
Q28507	Q21716
Q55805	Q21685
Q21666	Q2814783
Q681374	Q25341
Q21153	Q7556
Q10856	Q28078
Q371086	Q25341
Q1193805	Q200989
Q26623	Q25557
Q193404	Q21685
Q754889	Q25510
Q17189403	Q162085
Q168473	Q2862448
Q1074819	Q8327
Q28449	Q25978
Q21695	Q20604429
Q201240	Q26375
Q550595	Q25341
Q11725806	Q26617
Q135447	Q10856
Q20977	Q20740
Q732881	Q25341
Q21596781	Q561145
Q692828	Q2862448
Q3709179	Q25341
Q14254250	Q25341
Q26617	Q25950
Q3901247	Q21728
Q205323	Q25978
Q875769	Q864492
Q205857	Q194240
Q26012	Q25222
Q12845592	Q25978
Q25978	Q27732132
Q27244	Q26125
Q21744	Q25370
Q21728	Q43657
Q15998878	Q869223
Q194240	Q25341
Q162085	Q19338
Q28078	Q19596430
Q16124376	Q21651
Q45018	Q484131
Q20604429	Q5891686
Q1179990	Q764420
Q21659	Q5113
Q864492	Q25978
Q8327	Q13624220
Q2862448	Q764420
Q31448	Q31431
Q25934	Q11965316
Q21736	Q19595747
Q768526	Q25341
Q25222	Q5881279
Q484131	Q19598622
Q25557	Q19168
Q2814783	Q43657
Q183364	Q19598306
Q21685	Q19595985
Q21716	Q43657
Q19338	Q43657
Q7129481	Q864492
Q749521	Q764420
Q25950	Q5198624
Q20740	Q5113
Q25341	Q5856078
Q19595747	Q15718604
Q19598622	Q19596314
Q26125	Q5198624
Q5856078	Q326483
Q869223	Q194240
Q5891686	Q21590143
Q19598306	Q22285909
Q19596430	Q22285909
Q5198624	Q2330918
Q5113	Q19159
Q13624220	Q31431
Q21651	Q853058
Q27732132	Q19597378
Q31431	Q326483
Q5881279	Q7142618
Q764420	Q194240
Q43657	Q19595935
Q19595985	Q43657
Q11965316	Q2330918
Q25370	Q326483
Q19168	Q5113
Q853058	Q19168
Q22285909	Q2330918
Q2330918	Q19168
Q19596314	Q19596468
Q19595935	Q21590143
Q326483	Q14635103
Q21590143	Q2330918
Q15718604	Q20645445
Q7142618	Q5113
Q19597378	Q19598418
Q19596468	Q7142618
Q14635103	Q20645445
Q20645445	Q22007593
Q19598418	Q2330918
Q22007593	Q2330918
